Pre,Post,Houses,Citizens
62227,62264,40,100
62227,62274,81,230
62248,62265,135,429
62248,62277,194,503
61040,61055,147,415
61040,61059,389,1047
62349,62382,60,151
62349,62384,160,480
62336,62384,65,209
62336,62380,102,315
